,Country,Year,Cases,Continent,Population
175,France,2003,25802,Europe,"6,70,60,000"
176,France,2004,26238,Europe,"6,70,60,000"
177,France,2011,23871,Europe,"6,70,60,000"
178,France,2007,23247,Europe,"6,70,60,000"
179,France,2008,24031,Europe,"6,70,60,000"
180,France,2010,22963,Europe,"6,70,60,000"
181,France,2009,23253,Europe,"6,70,60,000"
182,Georgia,2008,202,Asia,"37,29,600"
183,Georgia,2004,98,Asia,"37,29,600"
184,Georgia,2006,229,Asia,"37,29,600"
185,Georgia,2005,164,Asia,"37,29,600"
186,Georgia,2010,165,Asia,"37,29,600"
187,Georgia,2007,215,Asia,"37,29,600"
188,Georgia,2009,163,Asia,"37,29,600"
189,Germany,2008,56784,Europe,"8,31,49,300"
190,Germany,2003,54632,Europe,"8,31,49,300"
191,Germany,2006,52231,Europe,"8,31,49,300"
192,Germany,2011,47078,Europe,"8,31,49,300"
193,Germany,2007,56281,Europe,"8,31,49,300"
194,Germany,2009,49084,Europe,"8,31,49,300"
195,Germany,2004,57306,Europe,"8,31,49,300"
196,Germany,2010,46869,Europe,"8,31,49,300"
197,Germany,2005,55203,Europe,"8,31,49,300"
198,Greece,2005,633,Europe,"1,07,24,599"
199,Greece,2006,695,Europe,"1,07,24,599"
200,Greece,2007,555,Europe,"1,07,24,599"
201,Greece,2003,899,Europe,"1,07,24,599"
202,Greece,2004,626,Europe,"1,07,24,599"
203,Greece,2009,924,Europe,"1,07,24,599"
204,Greece,2010,901,Europe,"1,07,24,599"
205,Greece,2008,682,Europe,"1,07,24,599"
206,Greece,2011,536,Europe,"1,07,24,599"
207,Grenada,2005,151,Americas,"1,08,825"
208,Grenada,2006,98,Americas,"1,08,825"
209,Grenada,2008,169,Americas,"1,08,825"
210,Grenada,2009,214,Americas,"1,08,825"
211,Grenada,2010,150,Americas,"1,08,825"
212,Grenada,2007,153,Americas,"1,08,825"
213,Guatemala,2006,289,Americas,"1,76,79,735"
214,Guatemala,2005,314,Americas,"1,76,79,735"
215,Guatemala,2007,318,Americas,"1,76,79,735"
216,Guatemala,2008,158,Americas,"1,76,79,735"
217,Guatemala,2004,363,Americas,"1,76,79,735"
218,Guatemala,2009,401,Americas,"1,76,79,735"
219,Guinea,2007,33,Africa,"1,22,18,357"
220,Guyana,2007,138,Americas,"7,82,225"
221,Guyana,2011,297,Americas,"7,82,225"
222,Guyana,2006,229,Americas,"7,82,225"
223,Guyana,2009,105,Americas,"7,82,225"
224,Guyana,2010,147,Americas,"7,82,225"
225,Guyana,2005,239,Americas,"7,82,225"
226,Guyana,2008,134,Americas,"7,82,225"
227,Honduras,2011,3580,Americas,"91,58,345"
228,Hungary,2010,764,Europe,"97,64,000"
229,Hungary,2008,681,Europe,"97,64,000"
230,Hungary,2007,643,Europe,"97,64,000"
231,Hungary,2003,560,Europe,"97,64,000"
232,Hungary,2004,772,Europe,"97,64,000"
233,Hungary,2009,728,Europe,"97,64,000"
234,Hungary,2006,653,Europe,"97,64,000"
235,Hungary,2005,858,Europe,"97,64,000"
236,Hungary,2011,630,Europe,"97,64,000"
237,Iceland,2008,368,Europe,"3,60,390"
238,Iceland,2006,281,Europe,"3,60,390"
239,Iceland,2007,349,Europe,"3,60,390"
240,Iceland,2005,288,Europe,"3,60,390"
241,India,2010,72746,Asia,"1,35,99,33,123"
242,India,2004,62801,Asia,"1,35,99,33,123"
243,India,2008,74094,Asia,"1,35,99,33,123"
244,India,2009,71117,Asia,"1,35,99,33,123"
245,India,2006,65931,Asia,"1,35,99,33,123"
246,India,2007,70421,Asia,"1,35,99,33,123"
247,India,2005,62518,Asia,"1,35,99,33,123"
248,Ireland,2004,1752,Europe,"49,21,500"
249,Ireland,2009,1480,Europe,"49,21,500"
