,country,date,sexual violence,rate
393,India,2008,74094,6.221870841
394,India,2009,71117,5.888434264
395,India,2010,72746,5.940319201
398,Ireland,2004,1752,42.88152071
399,Ireland,2005,1801,43.3136558
400,Ireland,2006,1415,33.47980848
401,Ireland,2007,1366,31.83215738
402,Ireland,2008,1407,32.32353121
403,Ireland,2009,1480,33.5435015
404,Ireland,2010,2368,52.97657666
405,Ireland,2011,2018,44.58878228
407,Israel,2004,4885,75.48789752
408,Israel,2005,4598,69.61844007
409,Israel,2006,1107,16.38751393
410,Israel,2007,4630,66.90575479
411,Israel,2008,4497,63.40657872
413,Israel,2010,4956,66.80685862
414,Israel,2011,4572,60.45864467
415,Italy,2003,2744,4.742126808
416,Italy,2004,3734,6.408784105
417,Italy,2005,4020,6.851742574
418,Italy,2006,4513,7.638523343
419,Italy,2007,4897,8.230910159
420,Italy,2008,4893,8.169776539
421,Italy,2009,4963,8.237528427
422,Italy,2010,4813,7.948691321
423,Italy,2011,4617,7.59516235
426,Jamaica,2005,1092,40.72115221
427,Jamaica,2006,1142,42.35380335
428,Jamaica,2007,1224,45.18202376
429,Jamaica,2008,1472,54.11203691
430,Jamaica,2009,1306,47.82526859
431,Jamaica,2010,1486,54.21276211
432,Jamaica,2011,1753,63.71595985
433,Japan,2003,12501,9.906949565
434,Japan,2004,11360,8.994499373
435,Japan,2005,10827,8.566142743
436,Japan,2006,10274,8.124000428
437,Japan,2007,9430,7.453632988
438,Japan,2008,8693,6.869512608
439,Japan,2009,8090,6.392644019
440,Japan,2010,8316,6.572046894
441,Japan,2011,8055,6.367727815
445,Kazakhstan,2006,408,2.664518855
446,Kazakhstan,2007,382,2.468323239
447,Kazakhstan,2008,344,2.197332604
448,Kazakhstan,2009,354,2.234693862
449,Kazakhstan,2010,353,2.20262022
450,Kazakhstan,2011,374,2.307680442
452,Kenya,2004,2880,8.299191382
453,Kenya,2005,2590,7.27230334
454,Kenya,2006,2965,8.114184668
455,Kenya,2007,3051,8.139202288
456,Kenya,2008,2719,7.070525147
457,Kenya,2009,4068,10.30860225
458,Kenya,2010,4817,11.89010394
459,Kenya,2011,4703,11.30264538
