,Country,Year,Cases,Crime Rate,Continent
192,Germany,2011,47078,57.29863761,Europe
193,Germany,2007,56281,68.20592058,Europe
194,Germany,2009,49084,59.56408299,Europe
195,Germany,2004,57306,69.44132836,Europe
196,Germany,2010,46869,56.94726154,Europe
197,Germany,2005,55203,66.87970167,Europe
198,Greece,2005,633,5.660319657,Europe
199,Greece,2006,695,6.194682378,Europe
200,Greece,2007,555,4.930827596,Europe
201,Greece,2003,899,8.09102848,Europe
202,Greece,2004,626,5.615729281,Europe
203,Greece,2009,924,8.157790743,Europe
204,Greece,2010,901,7.931794665,Europe
205,Greece,2008,682,6.039777336,Europe
206,Greece,2011,536,4.705869545,Europe
207,Grenada,2005,151,146.9815251,Americas
208,Grenada,2006,98,95.11146481,Americas
209,Grenada,2008,169,162.9339684,Americas
210,Grenada,2009,214,205.5774902,Americas
211,Grenada,2010,150,143.5585288,Americas
212,Grenada,2007,153,148.0148595,Americas
213,Guatemala,2006,289,2.217124115,Americas
214,Guatemala,2005,314,2.469105902,Americas
215,Guatemala,2007,318,2.38044585,Americas
216,Guatemala,2008,158,1.154055783,Americas
217,Guatemala,2004,363,2.926295091,Americas
218,Guatemala,2009,401,2.857423204,Americas
219,Guinea,2007,33,0.35205186,Africa
220,Guyana,2007,138,18.39833188,Americas
221,Guyana,2011,297,39.28363579,Americas
222,Guyana,2006,229,30.60184065,Americas
223,Guyana,2009,105,13.94398237,Americas
224,Guyana,2010,147,19.48328215,Americas
225,Guyana,2005,239,32.02744444,Americas
226,Guyana,2008,134,17.82915413,Americas
227,Honduras,2011,3580,46.16562861,Americas
228,Hungary,2010,764,7.652515689,Europe
229,Hungary,2008,681,6.795128182,Europe
230,Hungary,2007,643,6.402742246,Europe
231,Hungary,2003,560,5.525672521,Europe
232,Hungary,2004,772,7.635707138,Europe
233,Hungary,2009,728,7.278364551,Europe
234,Hungary,2006,653,6.488297119,Europe
235,Hungary,2005,858,8.506051788,Europe
236,Hungary,2011,630,6.321419498,Europe
237,Iceland,2008,368,118.4551898,Europe
238,Iceland,2006,281,93.35238032,Europe
239,Iceland,2007,349,114.1563713,Europe
240,Iceland,2005,288,97.05367945,Europe
241,India,2010,72746,5.940319201,Asia
242,India,2004,62801,5.592296756,Asia
243,India,2008,74094,6.221870841,Asia
244,India,2009,71117,5.888434264,Asia
245,India,2006,65931,5.698254447,Asia
246,India,2007,70421,5.998526562,Asia
247,India,2005,62518,5.483828901,Asia
248,Ireland,2004,1752,42.88152071,Europe
249,Ireland,2009,1480,33.5435015,Europe
250,Ireland,2010,2368,52.97657666,Europe
251,Ireland,2008,1407,32.32353121,Europe
252,Ireland,2007,1366,31.83215738,Europe
253,Ireland,2005,1801,43.3136558,Europe
